"Data de referência dos dados: 01 de outubro de 2020","","","","","","","","","","","","","","","","","","","",""
"Empreendimento","CEG","UF","Fonte","Fase","Origem","Tipo","Tipo de Atuação","Combustível Final","Entrada em Operação","Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","Geracao Qualificada","Latitude (GMS)","Longitude (GMS)","Início Vigência","Fim Vigência","Proprietário / Regime de Exploração","Cod e Descrição Sub-Bacia","Município (s)"
"Dayane Nazare de Nazare","UFVRSPA038886-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/11/2017","1.00","1","0","N/I","1°45'49,464""S","52°55'1,56""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"de Cima","CGHPHPR037232-3","PR","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","01/06/1990","240.00","240","0","Não","-1","-1","","","100% para Nevio Urio (REG)","","Marmeleiro - PR"
"Debora Pires Barroso","UFVRSPA039287-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/01/2018","1.00","1","0","N/I","1°47'45,276""S","52°52'50,52""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Decasa","UTEAISP028051-8","SP","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","01/01/2004","33,000.00","33000","0","Não","22°46'2,417""S","50°6'46,116""W","25-02-2009","25-02-2044","100% para ENERCASA - ENERGIA CAIUÁ S/A (PIE)","","Ibirarema - SP"
"Decolores","UFVRSES046744-8","ES","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","24/10/2019","459.00","459","0","Não","20° 51' 50,100"" S","41° 2' 44,600"" W","","","100% para DECOLORES MÁRMORES E GRANITOS DO BRASIL LTDA (REG)","","Cachoeiro de Itapemirim - ES"
"Dedilene do Carmo Silva","UFVRSPA046415-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","04/11/2019","1.00","1","0","N/I","3° 49' 7,522"" S","49° 46' 7,158"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dedison Wanzeler Araujo","UFVRSPA045906-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","02/09/2019","1.00","1","0","N/I","3° 44' 40,837"" S","49° 51' 15,376"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Deison Prazeres Teles","UFVRSPA045776-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/09/2019","1.00","1","0","N/I","3° 58' 1,160"" S","49° 49' 12,997"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dejanira Santana Barbosa","UFVRSPA038513-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/03/2018","1.00","1","0","N/I","2°1'31,296""S","52°20' 6,108''W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"DELCAS HOTEL","UTEPEMT033454-5","MT","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","30/06/2009","360.00","360","0","Não","15°37'17,5""S","56°3'53,1""W","","","100% para Delcaro Hoteis Ltda (REG)","","Cuiabá - MT"
"Delcir Ribeiro de Andrade","UFVRSPA038887-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/11/2017","1.00","1","0","N/I","1°46'47,316""S","53°0'9,864""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Delfina I","EOLCVBA032357-8","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","31/10/2017","28,000.00","28000","0","Não","10° 3' 27,032"" S","40° 58' 43,250"" W","08-05-2015","08-05-2050","100% para Enel Green Power Delfina a Eolica S.A (PIE)","","Campo Formoso - BA"
"Delfina II","EOLCVBA032358-6","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","02/11/2017","28,000.00","28000","0","Não","10° 2' 13,004"" S","40° 57' 31,025"" W","08-05-2015","08-05-2050","100% para Enel Green Power Delfina a Eolica S.A (PIE)","","Campo Formoso - BA"
"Delfina III","EOLCVBA032521-0","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","02/11/2017","28,000.00","28000","0","Não","10°0'15,928""S","40°56'2,993""W","01-07-2015","01-07-2045","100% para Enel Green Power Delfina B Eólica S.A. (PIE)","","Campo Formoso - BA"
"Delfina IV","EOLCVBA032522-8","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","31/10/2017","8,000.00","8000","3800","Não","10°3'56,491""S","40°58'51,264""W","01-07-2015","01-07-2045","100% para Enel Green Power Delfina C Eólica S.A. (PIE)","","Campo Formoso - BA"
"Delfina V","EOLCVBA032359-4","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","31/10/2017","28,000.00","28000","0","Não","10° 1' 22,355"" S","40° 55' 42,111"" W","08-05-2015","08-05-2050","100% para Enel Green Power Delfina a Eolica S.A (PIE)","","Campo Formoso - BA"
"Delfina VI","EOLCVBA032523-6","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","31/10/2017","30,000.00","30000","18100","Não","10°1'42,942""S","40°57'9,224""W","01-07-2015","01-07-2045","100% para Enel Green Power Delfina D Eólica S.A. (PIE)","","Campo Formoso - BA"
"Delfina VII","EOLCVBA032524-4","BA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","31/10/2017","30,000.00","30000","0","Não","9°59'9,512""S","40°54'39,821""W","01-07-2015","01-07-2045","100% para Enel Green Power Delfina E Eólica S.A. (PIE)","","Campo Formoso - BA"
"Delio Bernardino","UFVRSMG038218-3","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","81,200.00","0","0","Não","16° 3' 14,000"" S","43° 26' 59,000"" W","16-09-2019","16-09-2054","100% para DELIO BERNARDINO HOLDING S.A. (PIE)","","Janaúba - MG"
"Delio Bernardino VIII","UFVRSMG040186-2","MG","UFV","Construção não iniciada","Solar","Radiação solar","Autorização","Radiação solar","-","309,000.00","0","0","Não","16° 2' 13,930"" S","43° 26' 39,470"" W","26-09-2019","26-09-2054","100% para NENA BERNARDINO HOLDING S.A. (PIE)","","Janaúba - MG"
"Delio do Pilar Moraes Dos Santos","UFVRSPA045356-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/08/2019","1.00","1","0","N/I","3° 50' 39,599"" S","49° 46' 47,449"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Delivaldo Nazare Pires","UFVRSPA038888-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/11/2017","1.00","1","0","N/I","1°47'34,08""S","52°56'55,896""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Delivaldo Santos da Gama","UFVRSPA038609-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","03/11/2017","1.00","1","0","N/I","2°1'20,784""S","53°5'52,62""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Della Coletta","UTEAISP027929-3","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","21/07/2000","4,000.00","4000","0","Não","22°3'27,36""S","48°42'41,76""W","","","100% para Della Coletta - Usina de Açúcar e Álcool Ltda. (REG)","","Bariri - SP"
"Delma Martins Braga","UFVRSPA040508-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/03/2018","1.00","1","0","N/I","2° 37' 22,944"" S","52° 54' 56,880"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Delma Silva de Andrade","UFVRSPA039759-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","14/02/2018","1.00","1","0","N/I","2° 8' 6,900"" S","52° 47' 19,212"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"DELMOND HOTEL","UTEPEMT032857-0","MT","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","31/03/2014","500.00","500","0","Não","15°34'20,1""S","56°4'42""W","","","100% para Delcaro Hoteis Ltda (REG)","","Cuiabá - MT"
"Delos","UTEAISP027927-7","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","07/07/2000","700.00","700","0","Não","21°9'18""S","47°55'42,348""W","","","100% para Destilaria Lopes da Silva Ltda. (REG)","","Sertãozinho - SP"
"Delrimar Barbosa Rabelo","UFVRSPA039646-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","27/02/2018","1.00","1","0","N/I","2° 7' 19,848"" S","52° 16' 24,600"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Delson da Cruz Furtado","UFVRSPA040080-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","03/02/2018","1.00","1","0","N/I","2°13'48,54""S","52°46'30,756""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Delta","UTEAIMG028219-7","MG","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","01/12/2001","101,875.00","101875","40900","Não","19°56'41,463""S","47°48'45,871""W","27-03-2002","27-03-2032","100% para DELTA SUCROENERGIA S.A (PIE)","","Delta - MG"
"Delta 3 I (Antiga Ventos Maranhenses 1)","EOLCVMA033682-3","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","01/09/2017","27,600.00","27600","15400","Não","2°40'17,721""S","42°37'13,628""W","07-03-2016","07-03-2051","100% para DELTA 3 I ENERGIA S.A. (PIE)","","Barreirinhas - MA"
"Delta 3 II (Antiga Ventos Maranhenses 2)","EOLCVMA033683-1","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","20/07/2017","27,600.00","27600","14900","Não","2°37'40,111""S","42°39'51,481""W","07-03-2016","07-03-2051","100% para DELTA 3 II ENERGIA S.A. (PIE)","","Barreirinhas - MA"
"Delta 3 III (Antiga Ventos Maranhenses 3)","EOLCVMA033684-0","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","01/09/2017","27,600.00","27600","14900","Não","2°39'39,419""S","42°37'58,081""W","07-03-2016","07-03-2051","100% para DELTA 3 III ENERGIA S.A. (PIE)","","Barreirinhas - MA"
"Delta 3 IV (Antiga Ventos Maranhenses 4)","EOLCVMA033685-8","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","26/07/2017","27,600.00","27600","18100","Não","2°39'27,669""S","42°36'50,84""W","07-03-2016","07-03-2051","100% para DELTA 3 IV ENERGIA S.A. (PIE)","","Barreirinhas - MA"
"Delta 3 V (Antiga Ventos do Norte 15)","EOLCVMA033675-0","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","20/07/2017","27,600.00","27600","13100","Não","2°38'24,028""S","42°38'14,163""W","07-03-2016","07-03-2051","100% para DELTA 3 V ENERGIA S.A. (PIE)","","Barreirinhas - MA"
"Delta 3 VI (Antiga Ventos do Norte 13)","EOLCVMA033673-4","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","13/07/2017","27,600.00","27600","13100","Não","2°37'47,427""S","42°38'52,851""W","07-03-2016","07-03-2051","100% para DELTA 3 VI ENERGIA S.A. (PIE)","","Barreirinhas - MA"
"Delta 3 VII (Antiga Ventos do Norte 18)","EOLCVMA033680-7","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","07/07/2017","27,600.00","27600","18300","Não","2°37'6,205""S","42°39'28,845""W","08-01-2016","08-01-2051","100% para DELTA 3 VII ENERGIA S.A. (PIE)","","Barreirinhas - MA"
"Delta 3 VIII (Antiga Ventos Maranhenses 05)","EOLCVMA033686-6","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","07/11/2017","27,600.00","27600","15300","Não","2°40'2,047""S","42°38'33,771""W","29-04-2016","29-04-2051","100% para DELTA 3 VIII ENERGIA S.A. (PIE)","","Barreirinhas - MA"
"Delta 5 I","EOLCVMA037976-0","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","28/12/2018","27,000.00","27000","15500","Não","2° 40' 8,293"" S","42° 35' 42,086"" W","21-03-2018","21-03-2053","100% para DELTA 5 I ENERGIA S.A. (PIE)","","Paulino Neves - MA"
"Delta 5 II","EOLCVMA037972-7","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","28/12/2018","27,000.00","27000","15600","Não","2° 41' 5,100"" S","42° 34' 15,642"" W","21-03-2018","21-03-2053","100% para DELTA 5 II ENERGIA S.A. (PIE)","","Paulino Neves - MA"
"Delta 6 I","EOLCVMA037970-0","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","10/01/2019","29,700.00","29700","15300","Não","2° 42' 1,335"" S","42° 33' 29,646"" W","21-03-2018","21-03-2053","100% para DELTA 6 I ENERGIA S.A. (PIE)","","Paulino Neves - MA"
"Delta 6 II","EOLCVMA037967-0","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","25/01/2019","24,300.00","24300","11700","Não","2° 42' 21,069"" S","42° 32' 0,847"" W","21-03-2018","21-03-2053","100% para DELTA 6 II ENERGIA S.A. (PIE)","","Paulino Neves - MA"
"Delta 7 I","EOLCVMA040572-8","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","16/10/2019","27,000.00","27000","14000","Não","2°40'49,862""S","42°36'2,622""W","30-01-2019","30-01-2054","100% para DELTA 7 I ENERGIA S.A. (PIE)","","Paulino Neves - MA"
"Delta 7 II","EOLCVMA040573-6","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","15/10/2019","35,100.00","35100","18200","Não","2°41'50,794""S","42°35'23,331""W","30-01-2019","30-01-2054","100% para DELTA 7 II ENERGIA S.A. (PIE)","","Paulino Neves - MA"
"Delta 8 I","EOLCVMA040574-4","MA","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","01/11/2019","35,100.00","35100","17800","Não","2°42'3,84""S","42°34'15,646""W","30-01-2019","30-01-2054","100% para DELTA 8 I ENERGIA S.A. (PIE)","","Paulino Neves - MA"
"Delta Biocombustíveis","UTEPEMS032919-3","MS","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","26/03/2015","800.00","800","0","Não","21°44'40""S","54°31'2""W","","","100% para Delta Biocombustíveis Industria e Comercio Ltda (REG)","","Rio Brilhante - MS"
"Delta Cerâmica","UTEGNSP035148-2","SP","UTE","Construção","Fóssil","Gás natural","Autorização","Gás Natural","-","11,200.00","0","0","Não","22°29'26,189""S","47°34'58,904""W","15-12-2017","15-12-2052","100% para DELTA INDUSTRIA CERAMICA LTDA. (APE)","","Rio Claro - SP"
"Delta do Parnaíba","EOLCVPI030838-2","PI","EOL","Operação","Eólica","Cinética do vento","Autorização","Cinética do vento","02/07/2014","30,000.00","30000","14200","Não","2° 50' 13,704"" S","41° 42' 26,502"" W","16-04-2012","16-04-2047","100% para PORTO DO PARNAÍBA ENERGIA S.A. (PIE)","","Parnaíba - PI"
"Delziane Felipe Duarte","UFVRSPA039021-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","02/12/2017","1.00","1","0","N/I","1°47'14,892""S","52°22'3""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Demarcação – BBF RO","UTEPERO034418-4","RO","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","25/06/2019","286.00","286","0","Não","8° 10' 23,000"" S","62° 46' 45,000"" W","13-08-2015","13-08-2045","87% para AMAZONBIO - INDÚSTRIA E COMÉRCIO DE BIODIESEL DA AMAZÔNIA LTDA. (PIE) 13% para BRASIL BIO FUELS S.A. (PIE)","","Porto Velho - RO"
"Demerval Goncalves Lima","UFVRSPA045902-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/09/2019","1.00","1","0","N/I","3° 45' 48,204"" S","49° 53' 23,190"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Demison Tenorio de Lima","UFVRSPA039101-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","09/12/2017","1.00","1","0","N/I","1°41'22,992""S","52°35'45,384""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Deniete de Souza da Silva","UFVRSPA038709-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","12/11/2017","1.00","1","0","N/I","1°58'1,74""S","53°1'48,216""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Denilda Lopes de Souza","UFVRSPA045856-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","01/09/2019","1.00","1","0","N/I","3° 45' 26,680"" S","49° 52' 29,748"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Denilson Carvalho da Silva","UFVRSPA046023-0","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/09/2019","1.00","1","0","N/I","3° 51' 13,806"" S","49° 48' 37,368"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Denilson Duarte Dos Santos","UFVRSPA039425-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","16/01/2018","1.00","1","0","N/I","1° 47' 33,036"" S","52° 56' 53,340"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Denilson Estumano de Souza","UFVRSPA045324-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","13/08/2019","1.00","1","0","N/I","3° 47' 22,103"" S","49° 45' 15,188"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Denilze Cristina Pinto Martins","UFVRSPA045977-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/09/2019","1.00","1","0","N/I","3° 53' 15,284"" S","49° 48' 30,654"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Denis do Espirito Santo Marques Correa","UFVRSPA045646-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","03/09/2019","1.00","1","0","N/I","3° 56' 42,371"" S","49° 49' 35,872"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Denis Silva Meireles","UFVRSPA045362-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/08/2019","1.00","1","0","N/I","3° 48' 12,758"" S","49° 53' 12,282"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Denizia Monteiro Dos Santos","UFVRSPA038863-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","22/11/2017","1.00","1","0","N/I","1°47'37,14""S","52°59'45,456""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Derivação do Rio Jordão","PCHPHPR002398-1","PR","PCH","Operação","Hídrica","Potencial hidráulico","Concessão","Potencial hidráulico","02/12/1997","6,500.00","6500","5850","Não","-1","-1","16-11-2009","15-11-2029","100% para COPEL GERAÇÃO E TRANSMISSÃO S.A. (PIE)","","Reserva do Iguaçu - PR"
"Derlane Santana Tenorio","UFVRSPA040378-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","19/03/2018","1.00","1","0","N/I","2°17'46,752""S","52°53'18,636""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dermilson Batista Andrade","UFVRSPA038953-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","28/11/2017","1.00","1","0","N/I","1° 38' 48,408"" S","53° 5' 56,508"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dermison Almeida Assuncao","UFVRSPA045467-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/08/2009","1.00","1","0","N/I","3° 48' 19,238"" S","49° 48' 18,256"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Dermito Nogueira Tenorio","UFVRSPA040379-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","19/03/2018","1.00","1","0","N/I","2°17'46,068""S","52°53'18,564""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Dervan Nunes da Ponte","UFVRSPA045259-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/08/2019","1.00","1","0","N/I","3° 47' 38,551"" S","49° 49' 45,613"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Descartável Embalagens","UTEPESP030014-4","SP","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","25/04/2005","808.00","808","0","Não","23°40'49,592""S","46°41'13,691""W","","","100% para Descartável Embalagens Ltda. (REG)","","São Paulo - SP"
"Desidério","CGHPHMT030374-7","MT","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","15/08/2009","996.00","996","0","Não","-1","-1","","","100% para Eloi Brunetta &amp Cia  Ltda (REG)","","Novo São Joaquim - MT, Santo Antônio do Leste - MT"
"Destil","UTEAISP028045-3","SP","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","01/12/1981","8,949.00","8949","0","Não","21°11'35,56""S","49°8'14,03""W","18-09-2015","18-09-2045","100% para Usina Itajobi Ltda - Açucar e Álcool (APE)","","Marapoama - SP"
"Destilaria de Álcool Ibaiti","UTEAIPR028154-9","PR","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","07/05/2001","3,600.00","3600","0","Não","23° 40' 55,8233"" S","50° 24' 51,2978"" W","","","100% para Destilaria de Álcool Ibaiti Ltda (REG)","","Ibaiti - PR"
"Destilaria Guaricanga","UTEAISP027894-7","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","07/07/2000","1,600.00","1600","0","Não","22°3'22,742""S","49°19'15,482""W","","","100% para Destilaria Guaricanga S.A. (REG)","","Presidente Alves - SP"
"Destilaria Malosso","UTEAISP027895-5","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","22/09/2008","4,000.00","4000","0","Não","21° 37' 39,792"" S","48° 49' 49,728"" W","","","100% para MALOSSO BIOENERGIA S.A (REG)","","Itápolis - SP"
"Destilaria Melhoramentos","UTEAIPR028074-7","PR","UTE","Operação","Biomassa","Agroindustriais","Autorização","Bagaço de Cana de Açúcar","15/05/2002","18,380.00","18380","0","Não","23° 34' 3,980"" S","52° 25' 42,608"" W","11-04-2002","11-04-2032","100% para COMPANHIA MELHORAMENTOS NORTE DO PARANA (APE)","","Jussara - PR"
"Destilaria Meneghetti","UTEFLMG046741-3","MG","UTE","Operação","Biomassa","Floresta","Registro","Resíduos Florestais","01/05/2008","1,600.00","1600","0","Não","15°18'32,71""S","41°56'22,24""W","","","100% para DESTILARIA MENEGHETTI LTDA (REG)","","São João do Paraíso - MG"
"Destilaria Porto Alegre","UTEAIAL029635-0","AL","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","01/01/1989","2,400.00","2400","0","Não","8°53'50,928""S","35°39'59,796""W","","","100% para Destilaria Autônoma Porto Alegre Ltda. (REG)","","Colônia Leopoldina - AL"
"Destivale","UTEAISP028460-2","SP","UTE","Operação","Biomassa","Agroindustriais","Registro","Bagaço de Cana de Açúcar","21/12/2012","5,000.00","5000","0","Não","21°3'31,326""S","50°27'53,031""W","","","100% para RAÍZEN ENERGIA S.A (REG)","","Araçatuba - SP"
"Detofol","CGHPHSC029605-8","SC","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","21/07/2009","510.00","510","700","Não","-1","-1","","","100% para Hidrelétrica Detofol Ltda. (REG)","","Palma Sola - SC"
"Deucely Guerra da Silva","UFVRSPA039062-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","05/12/2017","1.00","1","0","N/I","1°39'35,604""S","52°19'16,5""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Deusa do Nascimento Pereira","UFVRSPA045225-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/08/2019","1.00","1","0","N/I","3° 51' 52,042"" S","49° 46' 55,132"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Deusa Dos Santos Mendes","UFVRSPA039675-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/02/2018","1.00","1","0","N/I","2° 7' 38,856"" S","52° 16' 30,360"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Deusanira de Albuquerque Ferreira","UFVRSPA038419-4","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","10/03/2018","1.00","1","0","N/I","2°8'8,772""S","52°44'15,958""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Deusarina Paulina de Souza","UFVRSPA040429-2","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","21/03/2018","1.00","1","0","N/I","1°57'49,176""S","52°18'12,924""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Deuza Matos Barbosa","UFVRSPA040081-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","03/02/2018","1.00","1","0","N/I","2°8'8,592""S","52°45'27,144""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Deuza Pereira Dos Santos","UFVRSPA045461-3","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","23/08/2009","1.00","1","0","N/I","3° 46' 15,168"" S","49° 50' 46,320"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
